product_id,media_type,media_order,media_url,qa_status,generation_model,source_reference,qa_note,version,created_at,updated_at
"PRD-M-01","AI_MODEL_FRONT","1","","PASS","fashn/product-to-model","domeggook/67362799 og:image (reference only)","","2","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-01","AI_MODEL_45DEG","2","","PASS","fashn/edit","domeggook/67362799 og:image (reference only)","","2","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-01","AI_MODEL_90DEG","3","","PASS","fashn/edit","domeggook/67362799 og:image (reference only)","","2","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-01","AI_MODEL_BACK","4","","PASS","fashn/edit","domeggook/67362799 og:image (reference only)","","2","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-01","AI_PRODUCT_CUTOUT","5","","MEDIA_NEEDS_REVIEW","fashn/packshot","domeggook/67362799 og:image (reference only)","풀룩 마네킹형 렌더 — 모델 미포함 엄격 기준 충족 여부 대표님 판단 필요","2","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-01","AI_PRODUCT_REEL","6","","MEDIA_NEEDS_REVIEW","fashn/image-to-video","01_model_front.png 기반","정방형 추정 — 9:16 리사이즈 검증 필요","1","2026-09-01T00:36:32Z","2026-09-01T00:36:32Z"
"PRD-M-55","AI_MODEL_FRONT","1","https://drive.google.com/uc?export=view&id=1e-kp2ZLeOGn-Jh2bug9dc96UyGmV-aRl","MEDIA_QA_PASS","fashn/product-to-model","domeggook/64414862 og:image (reference only)","정면 풀샷(얼굴 상단 크롭이나 의류 풀샷 명확), 디자인 일치, 신규 렌더","1","2026-09-01T01:33:47Z","2026-09-01T01:33:47Z"
"PRD-M-55","AI_MODEL_45DEG","2","https://drive.google.com/uc?export=view&id=1wLjlNfbPec8wsop7vy58YBop6e9LA9e2","MEDIA_QA_PASS","fashn/edit","domeggook/64414862 og:image (reference only)","45도 풀샷(헤드투토우), 동일 상품","1","2026-09-01T01:33:47Z","2026-09-01T01:33:47Z"
"PRD-M-55","AI_MODEL_90DEG","3","https://drive.google.com/uc?export=view&id=13Dh27SmT84ALIju8a25lH-WwC_yBKWOG","MEDIA_QA_PASS","fashn/edit","domeggook/64414862 og:image (reference only)","90도 측면 풀샷, 옆선/기장 확인","1","2026-09-01T01:33:47Z","2026-09-01T01:33:47Z"
"PRD-M-55","AI_MODEL_BACK","4","https://drive.google.com/uc?export=view&id=107UprkblSeBExSFCfDxMFl4b2l4fFWFV","MEDIA_QA_PASS","fashn/edit","domeggook/64414862 og:image (reference only)","후면 풀샷, 등판/요크 정상","1","2026-09-01T01:33:47Z","2026-09-01T01:33:47Z"
