상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score,성별
"PRD-30-03","남성 봄 가을 패션 ins 옥스포드 베이직 긴팔 셔츠 심플한 캐주얼 신상 나른함","의류-상의","도매꾹","PRD-30-03","https://www.domeggook.com/60429479","6480","12300","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-30-05","긴팔 티셔츠 남성 이너 남성 이너 루즈핏 맨투맨","의류-상의","도매꾹","PRD-30-05","https://www.domeggook.com/60042128","6600","12500","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","UNKNOWN (상세 크롤 후 보강)","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-50","남자 골프티 긴팔 카라티셔츠 무지 카라티 봄티셔츠 기본 티셔츠","의류-상의","도매꾹","45624849","https://www.domeggook.com/45624849","12900","24500","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-51","베이직 V넥 코튼 긴팔 티셔츠","의류-상의","도매꾹","56637692","https://www.domeggook.com/56637692","7500","14200","47.00%","판매중","생성완료","2026-09-06","https://media.fashn.ai/api/81398f20-ca97-42aa-acc9-11ad2fbb1e36/product_to_model_0.png","면(Cotton) 100% — 순면 40수, OCS 인증 면 언급 (공급사 표기)","중성세제를 사용해 찬물 또는 미온수로 세탁해 주세요. 건조기 사용은 변형의 위험이 있으니 피해 주세요. 형태를 잡아 그늘에서 건조해 주세요.","한국사이즈 단면(cm) — 95(XL): 어깨46·가슴50·밑단49·소매59·총장68 / 100(2XL): 어깨48·가슴51.5·밑단51·소매60·총장69 / 105(3XL): 어깨50·가슴53·밑단53·소매61·총장71 / 110(4XL): 어깨52·가슴56·밑단56·소매62·총장72","","","","","","TSHIRT","수입산 (아시아/중국)","KBT co","2025.1월 이후 상시제조","화이트 / 블랙 / 그레이","","","MALE"
"PRD-M-52","기모 오버핏 코튼 맨투맨","의류-상의","도매꾹","52261299","https://www.domeggook.com/52261299","14900","28300","47.00%","품절","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-53","남자빅사이즈맨투맨 남자오버핏맨투맨 남성맨투맨 오버핏맨투맨 남자맨투맨오버핏 남성오버핏맨투맨 남자맨","의류-상의","도매꾹","66230018","https://www.domeggook.com/66230018","31500","59800","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-54","남자 셔츠 남자링클프리셔츠 남자셔츠 남자옥스포드셔츠","의류-상의","도매꾹","64430920","https://www.domeggook.com/64430920","14310","27200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-55","세미 오버핏 폴리 셔츠","의류-상의","도매꾹","64414862","https://www.domeggook.com/64414862","15390","29200","47.00%","판매중","생성완료","2026-09-05","https://drive.google.com/drive/folders/16I2YSMz4RiMg2IqiqSqSugKv-17z7Zgg","Elastin Poly 100% (공급사 표기)","드라이 클리닝 권장 / 원할 경우 30°C 이하 미온수 세탁 / 표백제 금지 / 건조기(열건조) 금지 / 스팀 다림질 가능 / 형태 잡아 옷걸이 건조","한국사이즈 단면(cm), 측정 방법에 따라 오차 있음 — 95~105: 총장73·어깨49·가슴57·팔62 / 100~110: 총장77·어깨51·가슴60·팔64","","적당함","있음","","","SHIRT","수입산 (아시아/중국)","디에이치트레이딩","","화이트 / 블랙 / 차콜 / 민트","","","MALE"
"PRD-M-56","후드 남자 후드나시 민소매후드 캐주얼 남성런닝 루즈핏 후드티 KK926","의류-상의","도매꾹","55661192","https://www.domeggook.com/55661192","5400","10300","48.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
"PRD-M-57","기모 오버핏 후드티 남자 남자후드티오버핏 남자빅사이즈후드티 남자기모후드티 남자겨울후드티 남성티셔츠","의류-상의","도매꾹","64319449","https://www.domeggook.com/64319449","14580","27700","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","","","MALE"
