상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score
"PRD-30-03","남성 봄 가을 패션 ins 옥스포드 베이직 긴팔 셔츠 심플한 캐주얼 신상 나른함","의류-상의","도매꾹","PRD-30-03","https://www.domeggook.com/60429479","6480","0","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-05","긴팔 티셔츠 남성 이너 남성 이너 루즈핏 맨투맨","의류-상의","도매꾹","PRD-30-05","https://www.domeggook.com/60042128","6600","0","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"45624849","남자 골프티 긴팔 카라티셔츠 무지 카라티 봄티셔츠 기본 티셔츠","의류-상의","도매꾹","45624849","https://www.domeggook.com/45624849","12900","24500","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"56637692","남자 봄 가을 무지 기본 긴팔티 레이어드 V넥 면 긴팔 티셔츠 쭉티","의류-상의","도매꾹","56637692","https://www.domeggook.com/56637692","7500","14200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"52261299","남성 고퀄 기모 맨투맨","의류-상의","도매꾹","52261299","https://www.domeggook.com/52261299","14900","28300","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"66230018","남자빅사이즈맨투맨 남자오버핏맨투맨 남성맨투맨 오버핏맨투맨 남자맨투맨오버핏 남성오버핏맨투맨 남자맨","의류-상의","도매꾹","66230018","https://www.domeggook.com/66230018","31500","59800","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"64430920","남자 셔츠 남자링클프리셔츠 남자셔츠 남자옥스포드셔츠","의류-상의","도매꾹","64430920","https://www.domeggook.com/64430920","14310","27200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"64414862","남성흰색셔츠 남자옥스포드셔츠 남자 셔츠","의류-상의","도매꾹","64414862","https://www.domeggook.com/64414862","15390","29200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"55661192","후드 남자 후드나시 민소매후드 캐주얼 남성런닝 루즈핏 후드티 KK926","의류-상의","도매꾹","55661192","https://www.domeggook.com/55661192","5400","10300","48.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"64319449","기모 오버핏 후드티 남자 남자후드티오버핏 남자빅사이즈후드티 남자기모후드티 남자겨울후드티 남성티셔츠","의류-상의","도매꾹","64319449","https://www.domeggook.com/64319449","14580","27700","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-M-11","남자 봄 가을 세미 와이드 청바지 밴딩 데님 팬츠 흑청 블랙진","의류-하의","도매꾹","PRD-M-11","https://www.domeggook.com/64229681","10000","0","0%","판매중","대기","2026-08-31","","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-M-12","남자 코듀로이 팬츠 골덴바지 밴딩 플리츠 와이드팬츠","의류-하의","도매꾹","PRD-M-12","https://www.domeggook.com/42686729","11500","0","0%","판매중","대기","2026-08-31","","폴리에스터 100%","단독 세탁 · 손세탁 · 찬물 세탁 · 이염 주의","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-M-13","홀리데이 와이드 밴딩 슬랙스 와이드팬츠 정장 캐주얼 바지","의류-하의","도매꾹","PRD-M-13","https://www.domeggook.com/50202415","7600","0","0%","판매중","대기","2026-08-31","","폴리에스터 95%, 폴리우레탄 5%","미지근한 물에 중성세제로 손세탁 · 이염 우려 시 단독 세탁","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-M-14","남자 카고 와이드 청바지 통큰 데님 팬츠 진청 흑청","의류-하의","도매꾹","PRD-M-14","https://www.domeggook.com/50583735","16500","0","0%","판매중","대기","2026-08-31","","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-M-15","남성 데일리 화이트 와이드 데님 팬츠 롱 와이드핏 크림진","의류-하의","도매꾹","PRD-M-15","https://www.domeggook.com/65199565","14500","0","0%","판매중","대기","2026-08-31","","데님(코튼 100%)","찬물 손세탁 (중성세제) · 건조기 사용 금지","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-07","남자울사각패턴와이드팬츠 와이드밴딩팬츠 울바지 세미와이드팬츠","의류-하의","도매꾹","PRD-30-07","https://www.domeggook.com/66687350","7000","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-09","남자세미와이드팬츠 남자슬랙스팬츠 세미와이드팬츠 블랙팬츠 슬랙스팬츠 와이드팬츠 세미","의류-하의","도매꾹","PRD-30-09","https://www.domeggook.com/43989873","10100","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-10","셀렉온즈 와이드팬츠 남성여름바지 카고바지 카고팬츠 남자와이드팬츠 냉감바지 트랙팬츠","의류-하의","도매꾹","PRD-30-10","https://www.domeggook.com/66486392","10540","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-34","사방스판 여름 남자 카고 조거 바지 기능성 냉감 소재 슬림핏 조거팬츠","의류-하의","도매꾹","PRD-G-34","https://www.domeggook.com/64789104","9950","0","0%","판매중","대기","2026-08-31","","폴리에스터 혼방","드라이 클리닝 권장","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-08","사방스판 여름 남자 카고 조거 바지 기능성 냉감 소재 슬림핏 조거팬츠","의류-하의","도매꾹","PRD-G-08","https://www.domeggook.com/64769648","9950","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
