상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score
"PRD-M-01","남성용 포멀 경량 바람막이 블루종 카라 자켓","의류-아우터","우리의몰2","67362799","https://www.domeggook.com/67362799","22100","39900","44.60%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1LGzpUYl7VYfNbOc2TAEej5HaCCby8JTf","폴리에스터 100%","드라이 클리닝","L: 총장 69 / 어깨 48 / 가슴단면 57 / 소매길이 60 | XL: 총장 71 / 어깨 49 / 가슴단면 59 / 소매길이 61 | 2XL: 총장 73 / 어깨 50 / 가슴단면 61 / 소매길이 61 (권장 한국사이즈: L=95, XL=100, 2XL=105, 단위 cm, 단면 기준)","","보통","없음","없음","있음","오버핏","중국","N°1 협력업체","2026년 1월 이후 상시제조","블랙,네이비,베이지","OVERSIZED","72"
"PRD-M-02","남자 간절기용 캐주얼 투웨이 지퍼 블루종 자켓","의류-아우터","싸다구마켓","39000","https://www.domeggook.com/67484355","26900","65900","40.82%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1fGcJSJEzTKuxNBWUViqgPJrsddb1qouv","스웨이드, 폴리에스터","드라이 클리닝 권장","2XL(95-100)-총장63/어깨51/가슴57/밑단52/소매단너비15/소매길이57 | 3XL(100-105)-총장65/어깨53/가슴59/밑단54/소매단너비15/소매길이57 (단위 cm)","","보통","없음","없음","있음","레귤러핏","중국","N°1 협력업체","2026년 1월 이후 상시제조","단일 색상","UNKNOWN","30"
"PRD-M-03","남성 더블 집업 가디건 간절기용 클래식 니트 아우터","의류-아우터","우리스토어","67392688","https://www.domeggook.com/67392688","30300","54900","44.80%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/17-NkR1NeESMgQJUHF_8l-bEaWBvNE6xl","폴리에스터, 아크릴","드라이 클리닝 권장","S-총장66/가슴단면48/어깨너비42/소매길이60 | M-총장68/가슴단면50/어깨너비43/소매길이61 | L-총장70/가슴단면52/어깨너비44/소매길이62 (단위 cm)","","","보통","","없음","","중국","N°1 협력업체","2026년 1월 이후 상시제조","단일 색상","REGULAR","45"
"PRD-M-04","남자 터틀넥 니트 가디건 데일리룩","의류-아우터","901m02","67430928","https://www.domeggook.com/67430928","12600","23900","47.20%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/14JqKeAsGa31yq3QGad5Q4RX-9tnOAcUa","면95%, 아크릴5%","찬물 손세탁 (중성세제) · 건조기 사용 금지","M(95)-총길이70/가슴단면52/밑단단면42/소매폭18/화장(목중심~소매끝)73 | L(100)-총길이72/가슴단면53/밑단단면43/소매폭19/화장(목중심~소매끝)74 | XL(105)-총길이74/가슴단면54/밑단단면44/소매폭20/화장(목중심~소매끝)75 (단위 cm)","","보통","좋음","없음","없음","","중국","N°1 협력업체","2026년 1월 이후 상시제조","단일 색상","REGULAR","50"
"PRD-M-06","간절기 봄버 자켓 남자 블루종 항공점퍼 아우터 봄잠바","의류-아우터","미확인","49488699","https://www.domeggook.com/49488699","14200","25900","45.20%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1R4WQbFpsNjURX9y9NIC7qvFr2eZ7GMiD","폴리에스터 90%, 레이온 10%","드라이 클리닝 권장","95-총장65/어깨너비46/소매길이58/가슴단면56 | 100-총장68/어깨너비48/소매길이60/가슴단면58 | 105-총장70/어깨너비50/소매길이62/가슴단면60 | 110-총장72/어깨너비52/소매길이64/가슴단면62 (단위 cm)","","보통","약간 있음","","없음","레귤러핏","중국","N°1 협력업체","2026년 1월 이후 상시제조","단일 색상","OVERSIZED","70"
"PRD-M-11","남자 봄 가을 세미 와이드 청바지 밴딩 데님 팬츠 흑청 블랙진","의류-하의","KBTco","64229681","https://www.domeggook.com/64229681","10000","17900","44.10%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/18HkRV2kNcc89rnMAivOuvqBSz6YQydl6","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","XL(32): 허리단면 34-47, 허벅지단면 32, 엉덩이단면 59, 밑단 20, 총장 96 / 2XL(34): 허리단면 36-48, 허벅지단면 33, 엉덩이단면 60, 밑단 21, 총장 97 / 3XL(36): 허리단면 38-48, 허벅지단면 34, 엉덩이단면 61, 밑단 22, 총장 98 (단위 cm, 밴딩 허리)","177cm/70kg, XL 착용, 평소 100-105, 허리 31-32","두꺼움","보통","없음(비침 없음)","없음","넉넉형(와이드 밴딩)","중국","N°1 협력업체","2026년 1월이후","단일 색상","WIDE","70"
"PRD-M-12","남자 코듀로이 팬츠 골덴바지 밴딩 플리츠 와이드팬츠","의류-하의","KBTco","42686729","https://www.domeggook.com/42686729","11500","20900","45.00%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1jNbwlOXDG_a6Wap5Xox3ikfkoTm_8tgV","폴리에스터 100%","단독 세탁 · 손세탁 · 찬물 세탁 · 이염 주의","XL(29-30): 허리단면 29-44, 허벅지단면 27, 밑위(앞/뒤) 33/36, 엉덩이단면 53, 밑단 21.5, 총장 100 / 2XL(31-32): 허리단면 30-47, 허벅지단면 29, 밑위(앞/뒤) 35/37, 엉덩이단면 54, 밑단 22, 총장 102 / 3XL(33-34): 허리단면 31-49, 허벅지단면 31, 밑위(앞/뒤) 37/39, 엉덩이단면 55, 밑단 22.5, 총장 104 (단위 cm, 밴딩 허리)","","","","","없음","와이드 핏 (허리 밴딩)","중국","N°1 협력업체","2023년 10월이후","단일 색상","WIDE","70"
"PRD-M-13","홀리데이 와이드 밴딩 슬랙스 와이드팬츠 정장 캐주얼 바지","의류-하의","이너리즘","50202415","https://www.domeggook.com/50202415","7600","13900","45.30%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1rIYRzU5Z0GxUssRhhx8ipZWS8nb5KM1i","폴리에스터 95%, 폴리우레탄 5%","미지근한 물에 중성세제로 손세탁 · 이염 우려 시 단독 세탁","SIZE 30(29-31인치): 허리단면 33, 엉덩이단면 53.5, 허벅지단면 31.5, 밑위 28, 밑단단면 25.5, 총장 103 / SIZE 32(31-32인치): 허리단면 35, 엉덩이단면 54, 허벅지단면 33, 밑위 29, 밑단단면 27, 총장 104 / SIZE 34(33-34인치): 허리단면 36.5, 엉덩이단면 57.5, 허벅지단면 34, 밑위 31.5, 밑단단면 28, 총장 106 (단위 cm)","183cm/72kg, 32 사이즈 착용","","","","없음","와이드 밴딩 슬랙스","중국","N°1 협력업체","수시 입고중","블랙","WIDE","55"
"PRD-M-14","남자 카고 와이드 청바지 통큰 데님 팬츠 진청 흑청","의류-하의","KBTco","50583735","https://www.domeggook.com/50583735","16500","29900","44.80%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1rH-LIAJdWR4igA9O2Nw4bI_GU5JwNy2b","데님(코튼 100%)","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","XL(32-33): 허리단면 42, 허벅지단면 30, 밑위(앞/뒤) 31/38, 엉덩이단면 50, 밑단 22, 총장 95 / 2XL(34-35): 허리단면 44, 허벅지단면 31, 밑위(앞/뒤) 33/40, 엉덩이단면 52, 밑단 23, 총장 97 / 3XL(36-37): 허리단면 47, 허벅지단면 32, 밑위(앞/뒤) 34/42, 엉덩이단면 54, 밑단 23.5, 총장 100 (단위 cm)","","","","","없음","와이드 카고 핏 (밴딩)","중국","N°1 협력업체","2024년 8월이후","진청,흑청","WIDE","70"
"PRD-M-15","남성 데일리 화이트 와이드 데님 팬츠 롱 와이드핏 크림진","의류-하의","skclogics","65199565","https://www.domeggook.com/65199565","14500","25900","44.00%","판매중","생성완료","2026-08-31 11:48","https://drive.google.com/drive/folders/1oEo2tZ67oEgyps4i-zjZnkHJ3LA5pQ_E","데님(코튼 100%)","찬물 손세탁 (중성세제) · 건조기 사용 금지","L(30-45): 총장 98-100, 허벅지단면 52-54, 밑단 20, 권장키 166-175, 권장무게 60-70kg / XL(32-47): 총장 100-102, 허벅지단면 53-55, 밑단 21, 권장키 170-180, 권장무게 70-80kg / 2XL(34-49): 총장 102-104, 허벅지단면 54-56, 밑단 21.5, 권장키 175-183, 권장무게 80-90kg / 3XL(36-50): 총장 104-106, 허벅지단면 55-57, 밑단 22, 권장키 180-190, 권장무게 90-110kg (단위 cm, 밴딩 허리)","","보통","약간","없음(비침 없음)","없음","여유 핏 (하이텐스 와이드)","중국","N°1 협력업체","2026년 1월 이후 상시제조","단일 색상","WIDE","50"
