상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score
"PRD-W-03","여자 실크 새틴 블라우스 베이지 오피스 하객룩","의류-상의","도매꾹","PRD-W-03","https://www.domeggook.com/44559427","15800","0","0.00%","판매중","대기","2026-08-31","","폴리에스터 100%","드라이 클리닝 권장","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-04","로맨틱 레이스 퍼프 블라우스 꽃무늬 크림 셔츠","의류-상의","도매꾹","PRD-W-04","https://www.domeggook.com/55005533","12800","0","0.00%","판매중","대기","2026-08-31","","면 60%, 폴리에스터 40%","단독 손세탁 · 자연건조 권장","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-15","모네스트 클래식 니트 투피스 와이드 세트 베이지","의류-상의","도매꾹","PRD-W-15","https://www.domeggook.com/61991827","36300","0","0.00%","판매중","대기","2026-08-31","","폴리에스터 100%","찬물 손세탁 (중성세제) · 건조기 사용 금지","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-14","시원한 레이어드 블랙 레이스셔츠 여성 블라우스 셔츠","의류-상의","도매꾹","PRD-30-14","https://www.domeggook.com/59319239","7000","0","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-15","레이스 페이크카라 여성 셔츠 레이스카라","의류-상의","도매꾹","PRD-30-15","https://www.domeggook.com/61872210","7200","0","0.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"36492187","2L-CBB 1064 여자시스루펀칭반팔니트","의류-상의","도매꾹","36492187","https://www.domeggook.com/36492187","5900","11200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"51724295","LND 반폴라 풀오버 니트티 티셔츠 긴팔 겨울 간절기 스웨터","의류-상의","도매꾹","51724295","https://www.domeggook.com/51724295","7900","15000","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"62514970","긴팔 여자니트스웨터 여자스웨터 니트 라운드넥 여자예쁜니트 여자 오버핏","의류-상의","도매꾹","62514970","https://www.domeggook.com/62514970","17880","34000","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"62514609","여자니트스웨터 여자캐주얼니트 여자니트티 긴팔 루즈핏 베이직 라운드넥 여자","의류-상의","도매꾹","62514609","https://www.domeggook.com/62514609","17460","33200","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"63880080","스웨터 여성긴팔니트 니트풀오버 여자니트스웨터 여성라운드니트 여자","의류-상의","도매꾹","63880080","https://www.domeggook.com/63880080","23940","45500","47.00%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-11","여자 봄 가을 밴딩 와이드 슬랙스 통바지 와이드팬츠 코듀로이톤","의류-하의","도매꾹","PRD-W-11","https://www.domeggook.com/66007636","15780","0","0%","판매중","대기","2026-08-31","","폴리에스터 100%","착용 전 선세탁 권장 · 염소계 표백제 사용 금지 · 이염 주의 — 단독 세탁 및 손세탁","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-12","여자 봄 가을 밴딩 와이드 슬랙스 통바지 팬츠","의류-하의","도매꾹","PRD-W-12","https://www.domeggook.com/66406340","17300","0","0%","판매중","대기","2026-08-31","","폴리에스터 100%","찬물 단독 세탁 · 이염 주의","","","","","","","SLACKS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-13","여성 여자 하이웨스트 일자 세미 와이드핏 데님 팬츠 진청","의류-하의","도매꾹","PRD-W-13","https://www.domeggook.com/63745936","25000","0","0%","판매중","대기","2026-08-31","","면 52%, 폴리에스터 33.6%, 비스코스 14.4%","찬물 단독 세탁 · 이염 주의","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-W-14","겨울 니트 골지 와이드팬츠 따뜻한 밴딩 바지 크림","의류-하의","도매꾹","PRD-W-14","https://www.domeggook.com/62258032","6980","0","0%","판매중","대기","2026-08-31","","폴리에스터 100%","찬물 손세탁 (중성세제) · 건조기 사용 금지","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","",""
