상품ID,상품명,카테고리,공급사명,공급사코드,공급사URL,매입가,판매가,마진율,재고상태,룩북상태,갱신일,룩북이미지URL,소재,세탁정보,실측사이즈,모델정보,두께감,신축성,비침,안감,핏감,원산지,제조자,제조연월,색상옵션,fit_profile,unisex_score
"PRD-30-01","베이직 슬림 골지 하이넥 니트","의류-상의","도매꾹","PRD-30-01","https://www.domeggook.com/62738108","10400","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-02","페이크카라 페이크카라 남녀 터틀넥 공용 페이크카라 한국판 옥스포드 셔츠카라 가을 ","의류-상의","도매꾹","PRD-30-02","https://www.domeggook.com/61211417","3960","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"48681905","가을 신상 기브업 투톤 맨투맨 남여공용 여성 티셔츠 남성 커플 긴팔","의류-상의","도매꾹","48681905","https://www.domeggook.com/48681905","16400","31200","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"23465715","여름 남성 여성 티셔츠 에어로쿨 쿨론 카라티 반팔 기능성티 남여공용 사계절","의류-상의","도매꾹","23465715","https://www.domeggook.com/23465715","9000","17100","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"62555130","여성후드티 겨울철 후드티 가을후드티 남녀공용 여자후드티 남여공용후드티","의류-상의","도매꾹","62555130","https://www.domeggook.com/62555130","19450","37000","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"62592641","남여공용후드티 가을후드티 후드티 남자 여자후드티 남성후드티 남자후드티","의류-상의","도매꾹","62592641","https://www.domeggook.com/62592641","19450","37000","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"62447388","트랜디아이 남녀공용 수입 가을 겨울 후드 캥거루 포켓 캐주얼 니트 스웨터","의류-상의","도매꾹","62447388","https://www.domeggook.com/62447388","79900","151800","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"62479828","오버핏 케이블 니트 스웨터 남녀공용 소프트그레이 데일리룩","의류-상의","도매꾹","62479828","https://www.domeggook.com/62479828","19200","36500","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","KNIT","","","","UNKNOWN (상세 이미지 참조)","",""
"66460368","반목폴라 터틀넥 니트티 남녀공용 니트티셔츠 반폴라니트","의류-상의","도매꾹","66460368","https://www.domeggook.com/66460368","15720","29900","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"62050158","니트 반목폴라 목티 목폴라 겨울 하프넥 터틀넥 티셔츠 이너 폴라 남여공용 반폴라","의류-상의","도매꾹","62050158","https://www.domeggook.com/62050158","12300","23400","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","TSHIRT","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-06","부드러운 코튼면스판 사각바지/통넓은 바지/항아리바지/통바지/와이드 팬츠/엄마바지/","의류-하의","도매꾹","PRD-30-06","https://www.domeggook.com/67607666","7000","0","0%","판매중","대기","2026-08-31","","스판","기계세탁 가능 (중성세제) · 중온 다림질","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-08","밴딩 9부 팬츠 세미와이드팬츠 8부와이드팬츠","의류-하의","도매꾹","PRD-30-08","https://www.domeggook.com/66583473","6990","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","JOGGER","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-30-18","LND (당일출고) 겨울 니트 골지 와이드팬츠 따뜻한 밴딩 트레이닝 홈웨어 바지","의류-하의","도매꾹","PRD-30-18","https://www.domeggook.com/62258032","6980","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATPANTS","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-30","데일리핏 카고 유니섹스 하프포켓팬츠 남녀공용 와이드 트레이닝 반바지 운동복 5부 ","의류-하의","도매꾹","PRD-G-30","https://www.domeggook.com/60078166","4500","0","0%","판매중","대기","2026-08-31","","폴리에스터 혼방","드라이 클리닝 권장","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-31","카고 팬츠 마운틴 풀밴딩 면팬츠 조거 캐주얼바지 유니섹스팬츠 조거팬츠","의류-하의","도매꾹","PRD-G-31","https://www.domeggook.com/65804717","9980","0","0%","판매중","대기","2026-08-31","","면(Cotton) 혼방","기계세탁 가능 (중성세제)","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-39","남여공용 스트링카고 7부 와이드 버뮤다 팬츠 JEB-1007236","의류-하의","도매꾹","PRD-G-39","https://www.domeggook.com/66002635","34380","0","0%","판매중","대기","2026-08-31","","폴리에스터 혼방","드라이 클리닝 권장","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-09","남여 공용 스트링 카고 7부 와이드 버뮤다 팬츠","의류-하의","도매꾹","PRD-G-09","https://www.domeggook.com/66141092","35800","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","CARGO","","","","UNKNOWN (상세 이미지 참조)","",""
"PRD-G-09","데일리핏 유니섹스 하프팬츠 남녀공용 와이드 트레이닝 반바지 운동복 5부 팬츠 밴딩","의류-하의","도매꾹","PRD-G-09","https://www.domeggook.com/60078066","3900","0","0%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","SWEATPANTS","","","","UNKNOWN (상세 이미지 참조)","",""
"63456487","모자 남여공용 데님버킷 BB083","의류-하의","도매꾹","63456487","https://www.domeggook.com/63456487","12400","23600","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
"66272137","버뮤다 캐주얼 워싱 데일리 밴딩 오버핏 청바지 남여공용 데님 스냅","의류-하의","도매꾹","66272137","https://www.domeggook.com/66272137","39600","75200","47%","판매중","대기","2026-08-31","","UNKNOWN","UNKNOWN","","","","","","","JEANS","","","","UNKNOWN (상세 이미지 참조)","",""
